project,amt_2024_actual,amt_2024_revised,amt_2025_original,amt_2025_perf,amt_2026_approved,amt_2026_tag_nutrition,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
Renovation of Government House Awka (Phase 3) Light House,0.0,0.0,0.0,0.0,100000000.0,0.0,469,0.11765,0.13562,011100100100,Office of the Executive Governor,23030121,Rehabilitation / Repairs Of Office Buildings,70111,EXECUTIVE AND LEGISLATIVE ORGANS,40420600,AWKA SOUTH,13100122000300,Reform of Government and Governance - General
"Purchase of furniture and office equipment for New Government House(20No Exec Chair and Table, @0 No Office chair and Table, 10 no Laptop",114100510.0,250000000.0,250000000.0,95609756.0,300000000.0,0.0,469,0.12582,0.14379,011100100100,Office of the Executive Governor,23010112,Purchase Of Office Furniture And Fittings,70111,EXECUTIVE AND LEGISLATIVE ORGANS,40420600,AWKA SOUTH,13100122000600,Reform of Government and Governance - General
Construc(cid:415)on of Na(cid:415)onal Youth Services Corp(NYSC),0.0,50000000.0,50000000.0,0.0,0.0,0.0,469,0.1348,0.15278,011100100100,Office of the Executive Governor,23020118,Construction / Provision Of Infrastructure,70111,EXECUTIVE AND LEGISLATIVE ORGANS,40420600,AWKA SOUTH,13100122000700,Reform of Government and Governance - General
"Government House Project Implementation and Monitoring Activities (PRS and SEE): Government House - Strategy, Execution & Evaluation & monitoring of projects across the state",0.0,100000000.0,100000000.0,0.0,100000000.0,0.0,469,0.14379,0.16176,011100100100,Office of the Executive Governor,23050103,Monitoring And Evaluation,70111,EXECUTIVE AND LEGISLATIVE ORGANS,40420600,AWKA SOUTH,13100122001000,Reform of Government and Governance - General
Rehabilitation of Government Guest House buildings (Abuja and Lagos),2967215.0,30000000.0,30000000.0,0.0,0.0,0.0,469,0.15278,0.17075,011100100100,Office of the Executive Governor,23030121,Rehabilitation / Repairs Of Office Buildings,70111,EXECUTIVE AND LEGISLATIVE ORGANS,40442200,State Wide,13100122001100,Reform of Government and Governance - General
Special Emergency Intervention programmes and Projects in the State,5048469344.0,7000000000.0,7000000000.0,3511729654.1,8000000000.0,0.0,469,0.16176,0.17974,011100100100,Office of the Executive Governor,23050108,Capacity Building,70111,EXECUTIVE AND LEGISLATIVE ORGANS,40420600,AWKA SOUTH,13100122001200,Reform of Government and Governance - General
State Emergency Management Agency Projects-Capacity building for staff on disaster management strategy,133837090.0,230000000.0,230000000.0,1800000.0,230000000.0,0.0,469,0.16993,0.18791,011100100100,Office of the Executive Governor,23050108,Capacity Building,70111,EXECUTIVE AND LEGISLATIVE ORGANS,40420600,AWKA SOUTH,13100122001300,Reform of Government and Governance - General
Empowerment Program for the Aged in three senatorial zone (Poverty Alleviation & Welfare Scheme for the Aged),0.0,100000000.0,100000000.0,0.0,30000000.0,0.0,469,0.17892,0.1969,011100100100,Office of the Executive Governor,23050108,Capacity Building,70111,EXECUTIVE AND LEGISLATIVE ORGANS,40420600,AWKA SOUTH,13100122002000,Reform of Government and Governance - General
Awka Capital Territory Development Authority Projects- Data gathering on Zero potholes in the state,182828000.0,500000000.0,500000000.0,455200335.0,1000000000.0,0.0,469,0.18791,0.20588,011100100100,Office of the Executive Governor,23020118,Construction / Provision Of Infrastructure,70111,EXECUTIVE AND LEGISLATIVE ORGANS,40420600,AWKA SOUTH,13100122002100,Reform of Government and Governance - General
ANSIPPA Special Projects- Investment summits,177773311.0,500000000.0,500000000.0,84000000.0,100000000.0,0.0,469,0.1969,0.21487,011100100100,Office of the Executive Governor,23050103,Monitoring And Evaluation,70111,EXECUTIVE AND LEGISLATIVE ORGANS,40420600,AWKA SOUTH,13100122002300,Reform of Government and Governance - General
Anambra state Small Business Development Agency Activities,0.0,50000000.0,50000000.0,0.0,50000000.0,0.0,469,0.20588,0.22386,011100100100,Office of the Executive Governor,23050103,Monitoring And Evaluation,70111,EXECUTIVE AND LEGISLATIVE ORGANS,40420600,AWKA SOUTH,13100122002700,Reform of Government and Governance - General
Purchase of 22 No 4x4 Special Purpose Vehicles,138500000.0,500000000.0,500000000.0,377895000.0,500000000.0,0.0,469,0.21405,0.23203,011100100100,Office of the Executive Governor,23010105,Purchase Of Motor Vehicles,70111,EXECUTIVE AND LEGISLATIVE ORGANS,40420600,AWKA SOUTH,13100122003200,Reform of Government and Governance - General
