project,amt_2024_actual,amt_2025_approved,amt_2025_revised,amt_2025_perf,amt_2026_approved,amt_2026_tag_climate,amt_2026_tag_nutrition,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
Purchase of 8No of Toyota Hilux For Security operations within the state.,0.0,400000000.0,400000000.0,280000000.0,800000000.0,0.0,0.0,209,0.11438,0.13235,011100100100,GOVERNMENT HOUSE,23010105,PURCHASE OF MOTOR VEHICLES,70361,PUBLIC ORDER AND SAFETY N.E.C.,20842800,State wide,13100123000100,Reform of Government and Governance - General
"Purchase of 60No. Sets Of Tables, 40 No of Visitors Chairs And 10 No. of Cushion Chairs in the Government House.",0.0,400000000.0,400000000.0,74357000.0,900000000.0,0.0,0.0,209,0.12255,0.14052,011100100100,GOVERNMENT HOUSE,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100124000100,Reform of Government and Governance - General
Purchase of 30 No. Sets Of Desktop Computers For New Offices In The Government House,0.0,5250000.0,5250000.0,0.0,20000000.0,0.0,0.0,209,0.13072,0.14869,011100100100,GOVERNMENT HOUSE,23010113,PURCHASE OF COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100123000200,Reform of Government and Governance - General
Purchase of 3 No. of Sharp MX360 computer printers and 2 No of Laserjet Printer in the Government House.,0.0,3200000.0,3200000.0,750000.0,10000000.0,0.0,0.0,209,0.13889,0.15686,011100100100,GOVERNMENT HOUSE,23010114,PURCHASE OF COMPUTER PRINTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100123000300,Reform of Government and Governance - General
Purchase of 10 No of Hp Laser jet M477 Coloured Photocopier in the Government House.,0.0,5000000.0,5000000.0,0.0,0.0,0.0,0.0,209,0.14706,0.16503,011100100100,GOVERNMENT HOUSE,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100124000200,Reform of Government and Governance - General
Purchase of 5 No of Shreeding Machine Pieces For Offices in the Government House,0.0,1050000.0,1050000.0,0.0,0.0,0.0,0.0,209,0.15523,0.1732,011100100100,GOVERNMENT HOUSE,23010117,PURCHASE OF SHREDDING MACHINES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100123000400,Reform of Government and Governance - General
Purchase of 18 No of Units Of 500Kva Generators in the Government House Clinic & others.,0.0,2000000000.0,2000000000.0,378933593.6,1000000000.0,0.0,0.0,209,0.16258,0.18056,011100100100,GOVERNMENT HOUSE,23010119,PURCHASE OF POWER GENERATING SET,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100124000300,Reform of Government and Governance - General
Purchase of 1500 No. Units of Fire Fighting Equipment to Govt House And Lodges,0.0,50000000.0,50000000.0,0.0,50000000.0,0.0,0.0,209,0.17075,0.18873,011100100100,GOVERNMENT HOUSE,23010123,PURCHASE OF FIRE FIGHTING EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100123000500,Reform of Government and Governance - General
"Purchase of 150 No of Communication Gadgets, Cctv Cameras, Bullet Proof Jackets And Security Kits To Operatives in the Government House",306623733.24,80000000.0,80000000.0,0.0,100000000.0,0.0,0.0,209,0.17892,0.1969,011100100100,GOVERNMENT HOUSE,23010128,PURCHASE OF SECURITY EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20842800,State wide,13100123000600,Reform of Government and Governance - General
"Construction of Additional 60 No of Office Blocks in Government House, Maiduguri.",0.0,900000000.0,900000000.0,739382606.72,1800000000.0,0.0,0.0,209,0.18709,0.20507,011100100100,GOVERNMENT HOUSE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70611,HOUSING DEVELOPMENT,20822100,MAIDUGURI METRO,13100123000700,Reform of Government and Governance - General
