project,amt_2025_approved,amt_2025_revised,amt_2025_perf,amt_2026_proposal,amt_2026_approved,amt_2026_tag_nutrition,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
Purchase of 5nos Diagnostic equipment for Government House Clinic l,0.0,0.0,0.0,1000000000.0,1000000000.0,0.0,427,0.15114,0.16912,011100100100,Office of the Executive Governor,23010122,PURCHASE OF HEALTH / MEDICAL EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124004900,Reform of Government and Governance - General
"Purchase of 3No. photocopying Machine for use in the Account Department, PRS and General Office",0.0,0.0,0.0,0.0,0.0,0.0,427,0.18709,0.20507,011100100100,Office of the Executive Governor,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124005000,Reform of Government and Governance - General
"Renovation/Rehabilitation of Exco Chamber Building, Government House Abakaliki.",3000000000.0,3000000000.0,387852248.0,700000000.0,700000000.0,0.0,427,0.22304,0.24101,011100100100,Office of the Executive Governor,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124005100,Reform of Government and Governance - General
"Purchase of 1no. Projector LED for use in Government House Chapel, Abakaliki.",10000000.0,10000000.0,0.0,50000000.0,50000000.0,0.0,427,0.25899,0.27696,011100100100,Office of the Executive Governor,23010139,", 23010139 - PURCHASE OF OTHER FIXED ASSETS",70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124005200,Reform of Government and Governance - General
"Purchase of 1no. Toyota Hilux for use in the Account Department, Government House, Abakaliki.",0.0,0.0,0.0,100000000.0,100000000.0,0.0,427,0.29493,0.31291,011100100100,Office of the Executive Governor,23010106,PURCHASE OF VANS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124005300,Reform of Government and Governance - General
"Purchase/provision of 100no. Executive Arm Chairs for use at Exco Annex, Govt. House, Abakaliki.",40000000.0,40000000.0,0.0,100000000.0,100000000.0,0.0,427,0.33088,0.34886,011100100100,Office of the Executive Governor,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124005400,Reform of Government and Governance - General
"Purchase of 10no. Refrigerators for use in Account, PRS, Admin, Engr. Departments, SSA and Chief of Staff Office in Government House, l Abakaliki.",3000000.0,3000000.0,0.0,0.0,0.0,0.0,427,0.37255,0.39052,011100100100,Office of the Executive Governor,23010139,. 23010139 - PURCHASE OF OTHER FIXED ASSETS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124005500,Reform of Government and Governance - General
"Purchase of 10no. Computers for use in Account, PRS, Admin, Engr. Departments, SSA and Chief of Staff Office in Government House, l Abakaliki.",6000000.0,6000000.0,0.0,0.0,0.0,0.0,427,0.42075,0.43873,011100100100,Office of the Executive Governor,23010113,PURCHASE OF COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124005600,Reform of Government and Governance - General
"Purchase of 10no. Televisions for use in Account, PRS, Admin, Engr. Departments, SSA and Chief of Staff Office in Government House, l Abakaliki.",0.0,0.0,0.0,0.0,0.0,0.0,427,0.46814,0.48611,011100100100,Office of the Executive Governor,23010139,PURCHASE OF OTHER FIXED ASSETS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124005700,Reform of Government and Governance - General
"Purchase of 5no. Printers for use in Account, PRS, Admin, Engr. Departments, SSA and Chief of Staff Office in Government House, l Abakaliki.",1000000.0,1000000.0,0.0,0.0,0.0,0.0,427,0.5098,0.52778,011100100100,Office of the Executive Governor,23010114,PURCHASE OF COMPUTER PRINTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124005800,Reform of Government and Governance - General
Drilling of 2No Water Bore Holes in the Government House l,0.0,0.0,0.0,5000000.0,5000000.0,0.0,427,0.54575,0.56373,011100100100,Office of the Executive Governor,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124005900,Reform of Government and Governance - General
"Purchase of 1no. 14 seater Conference set, 1nos. leather Upholstery Set at Government House",0.0,0.0,0.0,0.0,0.0,0.0,427,0.5817,0.59967,011100100100,Office of the Executive Governor,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124006000,Reform of Government and Governance - General
Rehabilitation of Office Building l,0.0,0.0,0.0,0.0,0.0,0.0,427,0.61765,0.63562,011100100100,Office of the Executive Governor,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124006100,Reform of Government and Governance - General
Capacity building for Ebonyi Students - Talent Hunt for office of the SA to the Governor on Students Mobilization,0.0,0.0,0.0,60000000.0,60000000.0,0.0,427,0.65359,0.67157,011100100100,Office of the Executive Governor,23050101,RESEARCH AND DEVELOPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124006200,Reform of Government and Governance - General
Purchase of 4nos Armoured Vehichels - Department of Special Project and implementation,0.0,0.0,0.0,20000000000.0,20000000000.0,0.0,427,0.68954,0.70752,011100100100,Office of the Executive Governor,23050101,RESEARCH AND DEVELOPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124006300,Reform of Government and Governance - General
Construction of Inter-State Boundary (Mapping) l,10000000.0,11699700.0,10000000.0,20000000.0,20000000.0,0.0,427,0.78513,0.8031,011100100200,Office of the Deputy Governor,23020122,CONSTRUCTION OF BOUNDARY PILLARS/ RIGHT OF WAYS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124000300,Reform of Government and Governance - General
Rehabilitation of Office Building of the Deputy Governor and office annex of the Deputy Governor,10000000.0,10000000.0,0.0,0.0,0.0,0.0,427,0.82108,0.83905,011100100200,Office of the Deputy Governor,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124000400,Reform of Government and Governance - General
Purchase of 1 No. Hilux Toyota Pick Up Van for State Boundary Committee,10000000.0,10000000.0,0.0,100000000.0,100000000.0,0.0,427,0.85703,0.875,011100100200,Office of the Deputy Governor,23010106,PURCHASE OF VANS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI 405,13100124000500,Reform of Government and Governance - General
Purchase of Leather Upholstery Chairs for the Deputy Governor's Office,2000000.0,2000000.0,0.0,0.0,0.0,0.0,428,0.10376,0.12173,011100100200,Office of the Deputy Governor,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124000700,Reform of Government and Governance - General
"Purchase of Sporting/Games Equipment; Complete set of Gym Equipment, for Lodge: 1 No. Tread Mill, 1 No. Upright Bike, 1 No. Smith Machine, 1 No. Recumbent Stepper, 1 No. Elliptical Trainer, 1 No. Drum Bell, 1 No. Folding Workout Bench",1500000.0,1500000.0,0.0,0.0,0.0,0.0,428,0.15768,0.17565,011100100200,Office of the Deputy Governor,23010126,PURCHASE OF SPORTING / GAMING EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124000800,Reform of Government and Governance - General
Purchase of Office Equipment:- Upholsery Sets for Deputy Chief of Staff and Permanent Secretary,2000000.0,2000000.0,0.0,0.0,0.0,0.0,428,0.21078,0.22876,011100100200,Office of the Deputy Governor,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124000900,Reform of Government and Governance - General
"Purchase of 5 No Plasma Television sets and DSTV installation for the Deputy Chief of Staff, Permanent Secretary, PRS, Admin and Finance l Department",2000000.0,2000000.0,0.0,0.0,0.0,0.0,428,0.25327,0.27124,011100100200,Office of the Deputy Governor,23010139,e 23010139 - PURCHASE OF OTHER FIXED ASSETS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124001000,Reform of Government and Governance - General
Purchase/Installation of CCTV for Security Surveilance in the Office of the Deputy Governor,2000000.0,2000000.0,0.0,0.0,0.0,0.0,428,0.29493,0.31291,011100100200,Office of the Deputy Governor,23010139,f 23010139 - PURCHASE OF OTHER FIXED ASSETS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124001100,Reform of Government and Governance - General
"Purchase of 5 No Desktop Computers HP for Deputy Chief of Staff, Perm Sec Office, Admin, PRS, and Accounts Departments",1000000.0,1000000.0,0.0,0.0,0.0,0.0,428,0.33088,0.34886,011100100200,Office of the Deputy Governor,23010113,PURCHASE OF COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124001200,Reform of Government and Governance - General
"Purchase of 5 No. Laserjet Printers for Deputy Chief of Staff, Permanent Secretary, Admin and PRS Office",500000.0,500000.0,0.0,0.0,0.0,0.0,428,0.36683,0.3848,011100100200,Office of the Deputy Governor,23010114,PURCHASE OF COMPUTER PRINTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124001300,Reform of Government and Governance - General
Purcahse of 1No. Photocopying Machine for Admin Department l,750000.0,750000.0,0.0,0.0,0.0,0.0,428,0.40278,0.42075,011100100200,Office of the Deputy Governor,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,41110100,ABAKALIKI,13100124001400,Reform of Government and Governance - General
