project,mda_code,mda_name,lga_code,lga_name,econ_code,econ_name,func_code,func_name,amt_2024_actual,amt_2025_revised,amt_2025_perf_jan_sep,amt_2026_approved,source_page
Construction of Accommodation for Development partners,011100100100,Office of the Executive Governor,12621600,CHANCHAGA,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,8114476544.45,700000000.0,520000000.0,1000000000.0,68
Construction of 12no. Offices in Government House,011100100100,Office of the Executive Governor,12621600,CHANCHAGA,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,176035954.25,1200000000.0,1165345153.13,1400000000.0,68
"Construction of Additional 9.no Guest Houses, Minna",011100100100,Office of the Executive Governor,12621600,CHANCHAGA,23020104,CONSTRUCTION / PROVISION OF HOUSING,70111,EXECUTIVE AND LEGISLATIVE ORGANS,0.0,3900000000.0,3770000000.0,2100000000.0,68
Remodelling & renovation of Kaduna liason office,011100100100,Office of the Executive Governor,12621600,CHANCHAGA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,1000000000.0,200000000.0,180000000.0,400000000.0,68
"Renovation of Administrative block in Government House, Minna",011100100100,Office of the Executive Governor,12621600,CHANCHAGA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,380000000.0,450000000.0,367202659.92,100000000.0,68
Provision of 28nos Executive Tables and Chairs for Additional 17no Guest Houses Behind Government House,011100100100,Office of the Executive Governor,12621600,CHANCHAGA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,100000000.0,1700000000.0,1625581395.35,1500000000.0,68
Purchase of 2no. Mikano sound proof 500KVA generator,011100100100,Office of the Executive Governor,12621600,CHANCHAGA,23010119,PURCHASE OF POWER GENERATING SET,70111,EXECUTIVE AND LEGISLATIVE ORGANS,165700000.0,100000000.0,90000000.0,200000000.0,68
Purchase of 25nos Executive Tables and Chairs for the Accomodation of Development Partners,011100100100,Office of the Executive Governor,12621600,CHANCHAGA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,0.0,600000000.0,450527838.45,0.0,68
Purchase of 20nos tables and chairs and 1no 25 seater round table for Offices in Government House,011100100100,Office of the Executive Governor,12621600,CHANCHAGA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,0.0,300000000.0,275000000.0,500000000.0,68
"Purchase of 10nos HP Laptops, 2nos Laserjet Printer, 2nos phopto copier Machines and 15nos seater round table for Strategic Communication",011100100100,Office of the Executive Governor,12621600,CHANCHAGA,23010113,PURCHASE OF COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,0.0,850000000.0,801055676.09,300000000.0,68
Renovation of 8 no. Guest Houses behind Government House,011100100100,Office of the Executive Governor,12621600,CHANCHAGA,23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,70111,EXECUTIVE AND LEGISLATIVE ORGANS,0.0,0.0,0.0,1000000000.0,68
purchase of 1no of (maikano)standby generator,011100100200,Office of the Deputy Governor,12621600,CHANCHAGA,23010119,PURCHASE OF POWER GENERATING SET,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20000000.0,50000000.0,25000000.0,0.0,68
Total renovation of the deputy governor's office.,011100100200,Office of the Deputy Governor,12621600,CHANCHAGA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,4000000.0,0.0,0.0,110000000.0,68
Procuring of two (3bedroom corpers lodge.,011100100200,Office of the Deputy Governor,12621600,CHANCHAGA,23010103,PURCHASE OF RESIDENTIAL BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,10000000.0,0.0,0.0,20000000.0,68
Procuring of one (3bedroom) visitors lodge.,011100100200,Office of the Deputy Governor,12621600,CHANCHAGA,23010103,PURCHASE OF RESIDENTIAL BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,0.0,0.0,0.0,50000000.0,68
"purchase of 2nos of bed,1wheel chair,2drip stand,2stretcher,1scale,1digital sphymomanometer,1instrument box e.t.c.",011100100200,Office of the Deputy Governor,12621600,CHANCHAGA,23010121,PURCHASE OF RESIDENTIAL FURNITURE,70111,EXECUTIVE AND LEGISLATIVE ORGANS,0.0,0.0,0.0,20000000.0,68
"Renovation of SDGs Offices, Minna",011100500100,Sustainable Development Goal's (SDGs) Office,12621600,CHANCHAGA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,78999636.0,10000000.0,0.0,50000000.0,68
"Computation and tracking of SDGs Direct Intervention in Health, Water and Education(FGN)",011100500100,Sustainable Development Goal's (SDGs) Office,12621600,CHANCHAGA,23050101,RESEARCH AND DEVELOPMENT,70131,GENERAL PERSONNEL SERVICES,500000000.0,2000000000.0,0.0,4000001223.74,68
"Procurement and Distribution of 300 tons of Assorted Grains, 5,000 Mattresses and Mats, 5,000 Plastic Buckets, 5,000 Blankets and Livelihood Support.",011100800100,Niger State Emergency Management Agency(NSEMA),12642600,STATE WIDE,23010127,PURCHASE OF AGRICULTURAL EQUIPMENT,70421,AGRICULTURE,10000000.0,1000000000.0,0.0,750000000.0,68
"Provision of Solar Powered Irrigation and Other Sustainable Livelihood in Jifu, Manta and Gungu",011100800100,Niger State Emergency Management Agency(NSEMA),12622200,SHIRORO,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70421,AGRICULTURE,15000000.0,140000000.0,0.0,150000000.0,68
Purchase of 2no emergency buses for distaster respond team in the State,011100800100,Niger State Emergency Management Agency(NSEMA),12642600,STATE WIDE,23010108,PURCHASE OF BUSES,70421,AGRICULTURE,15000000.0,210000000.0,0.0,35000000.0,68
ii. Monitoring of Risk assessment for herdsmen/farmers clashesacross the state,011100800100,Niger State Emergency Management Agency(NSEMA),12642600,STATE WIDE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,71091,SOCIAL PROTECTION N.E.C.,35000000.0,100000000.0,0.0,65000000.0,68
i. Completion of NSEMA office complex along Bida Road,011100800100,Niger State Emergency Management Agency(NSEMA),12642600,STATE WIDE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,71091,SOCIAL PROTECTION N.E.C.,60000000.0,100000000.0,0.0,395000000.0,68
"ii. Profilling of Boat Owners, Production and Distribution of Guide to Communities",011100800100,Niger State Emergency Management Agency(NSEMA),12642600,STATE WIDE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,71091,SOCIAL PROTECTION N.E.C.,107300000.0,100000000.0,0.0,40000000.0,68
iii. Search & Rescue operations at disaster scenes across the State,011100800100,Niger State Emergency Management Agency(NSEMA),12642600,STATE WIDE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,71091,SOCIAL PROTECTION N.E.C.,665000000.0,100000000.0,0.0,15000000.0,68
iii. Purchase of Food Items for the Mainstreaming of Nutrition in Feeding Programme of Vulnerable Groups in the State,011100800100,Niger State Emergency Management Agency(NSEMA),12642600,STATE WIDE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,71091,SOCIAL PROTECTION N.E.C.,245900600.0,50000000.0,0.0,50000000.0,68
Conduct of monitoring & evaluation across the state,011101000100,Public Procurement Board,12642600,STATE WIDE,23050103,MONITORING AND EVALUATION,70133,OTHER GENERAL SERVICES,0.0,12000000.0,0.0,6650000.0,68
establishment of State Data procurement dashboard,011101000100,Public Procurement Board,12642600,STATE WIDE,23050102,COMPUTER SOFTWARE ACQUISITION,70133,OTHER GENERAL SERVICES,0.0,6000000.0,0.0,6900000.0,68
Market Survey of prices of tendered items at state rates,011101000100,Public Procurement Board,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70133,OTHER GENERAL SERVICES,20000000.0,7000000.0,0.0,14350000.0,68
"Procurement of 6no. Executive Chairs, 3no. Visitors Chairs, 2no. Cabinet, 6no. Executive tables",011101000100,Public Procurement Board,12621600,CHANCHAGA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70131,GENERAL PERSONNEL SERVICES,0.0,5000000.0,0.0,8100000.0,68
Conduct of Procurement Audits of MDAs and LGAs,011101000100,Public Procurement Board,12621600,CHANCHAGA,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70133,OTHER GENERAL SERVICES,0.0,0.0,0.0,29000000.0,68
