project,amt_2024_actual,amt_2025_final,amt_2025_perf,amt_2026_approved,amt_2026_tag_nutrition,amt_2026_tag_climate,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
Renovation of Six (6) Government Office Building,1518525696.23,123600016.48,75165000.0,232764000.0,0.0,0.0,496,0.12663,0.14461,011100100100,Office of the Governor,32010101,LAND & BUILDINGS - ADMINISTRATIVE,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126052500,Reform of Government and Governance - General
Rehabilitation of four (4) Presidential Lodge/Government Quarters,86905022.63,818907874.08,271428413.0,365120000.0,0.0,0.0,496,0.1348,0.15278,011100100100,Office of the Governor,32010102,LAND & BUILDINGS - RESIDENTIAL,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126052600,Reform of Government and Governance - General
"Construction of 12 units of Semi Detached Duplex In PMB Estate,Abeokuta",0.0,0.0,0.0,909264599.98,0.0,0.0,496,0.14379,0.16176,011100100100,Office of the Governor,32010102,LAND & BUILDINGS - RESIDENTIAL,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126052700,Reform of Government and Governance - General
Contruction of 12units Government Quarters In 12 Local Government,0.0,0.0,0.0,684600000.0,0.0,0.0,496,0.15278,0.17075,011100100100,Office of the Governor,32010102,LAND & BUILDINGS - RESIDENTIAL,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126052800,Reform of Government and Governance - General
"Purchase of Five (5) 20 litrs fibreglass tank Reserviors @7,000,000.00 each",0.0,51342250.0,230000.0,35000000.0,0.0,0.0,496,0.16095,0.17892,011100100100,Office of the Governor,32010104,OTHER STORAGE FACILITIES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126052900,Reform of Government and Governance - General
"Purchase of Ten (10) 10,000ltrs Water Storage@N1,130,000.00",0.0,0.0,0.0,11300000.0,0.0,0.0,496,0.16993,0.18791,011100100100,Office of the Governor,32010104,OTHER STORAGE FACILITIES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126053000,Reform of Government and Governance - General
"Rehabilitation of Four (4) Mini Power Plant @N4,564,470.13 each",85627624.28,25012133.18,0.0,18257880.54,0.0,0.0,496,0.1781,0.19608,011100100100,Office of the Governor,32010304,POWER PLANTS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126053100,Reform of Government and Governance - General
"Rehabilitation of Three (3)Transformer @ N3,423,000.00 each",0.0,0.0,0.0,10269000.0,0.0,0.0,496,0.18709,0.20507,011100100100,Office of the Governor,32010304,POWER PLANTS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126053200,Reform of Government and Governance - General
"Purchase of two(2) 200kva Perkins Diesel Generator @N24,600,000.00 each",0.0,0.0,0.0,49200000.0,0.0,0.0,496,0.19526,0.21324,011100100100,Office of the Governor,32010305,POWER GENERATING SETS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126053300,Reform of Government and Governance - General
"Purchase of three(3) 9KVA Sumec Firman Generator @N1,236,000.00 each",0.0,0.0,0.0,3708000.0,0.0,0.0,496,0.20425,0.22222,011100100100,Office of the Governor,32010305,POWER GENERATING SETS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126053400,Reform of Government and Governance - General
"Purchase of Luminous Ten (10)10kVA Power Inverters with battery @N7,789,200.00 each",0.0,65723700.0,52250000.0,77892000.0,0.0,0.0,496,0.21324,0.23121,011100100100,Office of the Governor,32010306,SOLAR PANELS /CHARGE CONTROLLERS / INVERTERS / BATTERIES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126053500,Reform of Government and Governance - General
"Purchase of Five (5) Luminous 250W /24V Mono Solar Panel @N483,000.00 each",0.0,0.0,0.0,2415000.0,0.0,0.0,496,0.22141,0.23938,011100100100,Office of the Governor,32010306,SOLAR PANELS /CHARGE CONTROLLERS / INVERTERS / BATTERIES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126053600,Reform of Government and Governance - General
"Purchase of Two (2) Mercury inverter 12/100AMPS Battery@N255,360.00 each",0.0,0.0,0.0,510720.0,0.0,0.0,496,0.23039,0.24837,011100100100,Office of the Governor,32010306,SOLAR PANELS /CHARGE CONTROLLERS / INVERTERS / BATTERIES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126053700,Reform of Government and Governance - General
"Purchase of Seven (7) GAC GS8 2024 SUV@N88,799,998.80 each",10444454525.64,6630235133.76,728562450.0,621599991.6,0.0,0.0,496,0.23856,0.25654,011100100100,Office of the Governor,32010405,MOTOR VEHICLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126053800,Reform of Government and Governance - General
"Purchase of five (5) JAC T6 2025 Pickup Truck @N79,830,000.00 each",0.0,0.0,0.0,399150000.0,0.0,0.0,496,0.24755,0.26552,011100100100,Office of the Governor,32010405,MOTOR VEHICLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126053900,Reform of Government and Governance - General
"Purchase of Ten (10) Toyota Fortuner @N99,600,000.00 each",0.0,0.0,0.0,996000000.0,0.0,0.0,496,0.25572,0.27369,011100100100,Office of the Governor,32010405,MOTOR VEHICLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126054000,Reform of Government and Governance - General
"Purchase of Five (5) Toyota HiAce 2025 Bus@N132,000,000.00 each",0.0,0.0,0.0,660000000.0,0.0,0.0,496,0.26471,0.28268,011100100100,Office of the Governor,32010405,MOTOR VEHICLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126054100,Reform of Government and Governance - General
"Purchase of Five (5) Toyota Hilux 2025 PickupTruck @N150,000,000.00 each",0.0,0.0,0.0,750000000.0,0.0,0.0,496,0.27288,0.29085,011100100100,Office of the Governor,32010405,MOTOR VEHICLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126054200,Reform of Government and Governance - General
"Purchase of Ten (10) Toyota Land Cruiser 2024 SUV @N186,000,000.00 each",0.0,0.0,0.0,1860000000.0,0.0,0.0,496,0.28186,0.29984,011100100100,Office of the Governor,32010405,MOTOR VEHICLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126054300,Reform of Government and Governance - General
"Conversion of 5 Government Vehicles to CNG @N17,115,000.00 each",0.0,0.0,0.0,85575000.0,0.0,0.0,496,0.29085,0.30882,011100100100,Office of the Governor,32010405,MOTOR VEHICLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126054400,Reform of Government and Governance - General
"Purchase of Ten (10) HP 22, All-in-one-desktop@N1,224,000.00 each",269646730.75,275270265.0,31214000.0,12240000.0,0.0,0.0,496,0.29902,0.31699,011100100100,Office of the Governor,32010501,COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126054500,Reform of Government and Governance - General
"Purchase of Ten(10) HP Elitebook Laptop @N660,000.00 each",0.0,0.0,0.0,6600000.0,0.0,0.0,496,0.30801,0.32598,011100100100,Office of the Governor,32010501,COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126054600,Reform of Government and Governance - General
"Purchase of Eleven (11) Apple MacBook @N7,198,800.00 each",0.0,0.0,0.0,79186800.0,0.0,0.0,496,0.31618,0.33415,011100100100,Office of the Governor,32010501,COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126054700,Reform of Government and Governance - General
"Purchase of Ten(10) ZTE SUPER HOTSPOT/UNIVERSAL@ N17,280.00 each",0.0,0.0,0.0,172800.0,0.0,0.0,496,0.32516,0.34314,011100100100,Office of the Governor,32010501,COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126054800,Reform of Government and Governance - General
"Purchase of Ten (10) Telenet Mifi For All Networks @ N54,000.00 each",0.0,0.0,0.0,540000.0,0.0,0.0,496,0.33333,0.35131,011100100100,Office of the Governor,32010501,COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126054900,Reform of Government and Governance - General
"Purchase of Twenty five (25) HP Color Laserjet Wireless Printer @N1,020,000.00 each",29920513.75,29907840.0,11031425.0,25500000.0,0.0,0.0,496,0.34232,0.36029,011100100100,Office of the Governor,32010502,PRINTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126055000,Reform of Government and Governance - General
"Purchase of twenty (20) Blue Bell LaserJet Toner Cartridge 17A For Printers @N253,376.00 each",0.0,0.0,0.0,528000.0,0.0,0.0,496,0.35049,0.36846,011100100100,Office of the Governor,32010502,PRINTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126055100,Reform of Government and Governance - General
"Purchase of two (2) Sharp BP-30M31 Multifunctional Photocopier @N6,120,000.00 each",98143933.79,91037760.0,0.0,12240000.0,0.0,0.0,496,0.35948,0.37745,011100100100,Office of the Governor,32010505,PHOTOCOPIERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126055200,Reform of Government and Governance - General
"Purchase of Ten (10) Sharp BP-FT200 Toner Cartridge@ 72,000.00each",0.0,0.0,0.0,720000.0,0.0,0.0,496,0.36846,0.38644,011100100100,Office of the Governor,32010505,PHOTOCOPIERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126055300,Reform of Government and Governance - General
"Purchase of Eight (8)Sharp AR-7024 Digital Multifunctional Photocopier @N1,269,600.00each",0.0,0.0,0.0,10156800.0,0.0,0.0,496,0.37663,0.39461,011100100100,Office of the Governor,32010505,PHOTOCOPIERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126055400,Reform of Government and Governance - General
"Purchase of twenty (20) Sharp Toner cartridge AR – 021FT/020 ST @N54,000.00",0.0,0.0,0.0,1080000.0,0.0,0.0,496,0.38562,0.40359,011100100100,Office of the Governor,32010505,PHOTOCOPIERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126055500,Reform of Government and Governance - General
"Purchase of five (5) Fellowes C-420cx Paper Shredders@N2,053,020.00",0.0,0.0,0.0,10265100.0,0.0,0.0,496,0.39379,0.41176,011100100100,Office of the Governor,32010507,SHREDDING MACHINES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126055600,Reform of Government and Governance - General
"Purchase of twenty (20) BLUE GATE Ups 4kva @N838,800.00 each",12210998.24,10325380.0,4598000.0,16776000.0,0.0,0.0,496,0.40278,0.42075,011100100100,Office of the Governor,32010551,U.P.S,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126055700,Reform of Government and Governance - General
"Purchase of Three (3) Grundfos Submersible Pump Machine @N6,000,000 each",864047018.47,79941499.11,61866836.38,18000000.0,0.0,0.0,496,0.41095,0.42892,011100100100,Office of the Governor,32010555,OTHER EQUIPMENTS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126055800,Reform of Government and Governance - General
"Purchase of Five (5) Sucking Hose for Waterpump@N84,000.00 each",0.0,0.0,0.0,420000.0,0.0,0.0,496,0.41993,0.43791,011100100100,Office of the Governor,32010555,OTHER EQUIPMENTS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126055900,Reform of Government and Governance - General
"Purchase of Ten (10)Samsung Inverter Refrigerator With Water Dispen@N2,640,000.00 each",0.0,0.0,0.0,26400000.0,0.0,0.0,496,0.42892,0.4469,011100100100,Office of the Governor,32010555,OTHER EQUIPMENTS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126056000,Reform of Government and Governance - General
"Purchase of Five (5) Scanfrost Rechargeable Fan @N219,600.00 each",0.0,0.0,0.0,1098000.0,0.0,0.0,496,0.43709,0.45507,011100100100,Office of the Governor,32010555,OTHER EQUIPMENTS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126056100,Reform of Government and Governance - General
"Purchase of Five (5) Mercury, 50kVA 3-Phase Voltage Stabilizer @N4,776,000.00 each",0.0,0.0,0.0,23880000.0,0.0,0.0,496,0.44608,0.46405,011100100100,Office of the Governor,32010555,OTHER EQUIPMENTS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126056200,Reform of Government and Governance - General
"Purchase of Ten (10) Winpossee 32 Channel Cctv @N444,000.00 each",0.0,0.0,0.0,4440000.0,0.0,0.0,496,0.45425,0.47222,011100100100,Office of the Governor,32010555,OTHER EQUIPMENTS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126056300,Reform of Government and Governance - General
"Purchase of Five (5) iphone @N2,520,000.00 each",0.0,0.0,0.0,12600000.0,0.0,0.0,496,0.46324,0.48121,011100100100,Office of the Governor,32010555,OTHER EQUIPMENTS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126056400,Reform of Government and Governance - General
"Purchase of Thirty (30) Modern Executive Chair @N685,714.28 each",45741400.0,60325036.8,35007050.0,20571428.52,0.0,0.0,496,0.47141,0.48938,011100100100,Office of the Governor,32010601,CHAIRS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126056500,Reform of Government and Governance - General
"Purchase of Thirty (30) Executive Office Swivel Chair @N899,760.00 each",0.0,0.0,0.0,26992800.0,0.0,0.0,496,0.48039,0.49837,011100100100,Office of the Governor,32010601,CHAIRS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126056600,Reform of Government and Governance - General
"Purchase of Sixty (60) Office Chair@N117,000.00 each",0.0,0.0,0.0,7020000.0,0.0,0.0,496,0.48856,0.50654,011100100100,Office of the Governor,32010601,CHAIRS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126056700,Reform of Government and Governance - General
"Purchase of Two(2) Smart Recliner Chair With Voice Command @N2,228,571.43 each",0.0,0.0,0.0,4457142.86,0.0,0.0,496,0.49755,0.51552,011100100100,Office of the Governor,32010601,CHAIRS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126056800,Reform of Government and Governance - General
"Purchase of Four (4) Executive-office-table@N3,257,142.85 each",16734100.0,21578400.0,7675625.0,13028571.41,0.0,0.0,496,0.50654,0.52451,011100100100,Office of the Governor,32010602,TABLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126056900,Reform of Government and Governance - General
"Purchase of Three (3) modern executive table @N4,457,142.85 each",0.0,0.0,0.0,13371428.56,0.0,0.0,496,0.51471,0.53268,011100100100,Office of the Governor,32010602,TABLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126057000,Reform of Government and Governance - General
"Purchase of Ten (10) Office-table@N448,512.00 each",0.0,0.0,0.0,4485120.0,0.0,0.0,496,0.52369,0.54167,011100100100,Office of the Governor,32010602,TABLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126057100,Reform of Government and Governance - General
"Purchase of two (2) Conference Table @N1,080,000.00 each",0.0,0.0,0.0,2160000.0,0.0,0.0,496,0.53186,0.54984,011100100100,Office of the Governor,32010602,TABLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126057200,Reform of Government and Governance - General
"Purchase of Fourteen (14) Office Filing Cabinet @N454,285.72 each",3540575.0,9302109.07,750000.0,6360000.02,0.0,0.0,496,0.54085,0.55882,011100100100,Office of the Governor,32010603,SAFES/ FILE CABINETS/ CUPBOARDS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126057300,Reform of Government and Governance - General
"Purchase of Fifteen (15) File Cabinet @N419,400.00 each",0.0,0.0,0.0,6291000.0,0.0,0.0,496,0.54902,0.56699,011100100100,Office of the Governor,32010603,SAFES/ FILE CABINETS/ CUPBOARDS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,62742100,State wide,13100126057400,Reform of Government and Governance - General
