project,amt_2025_approved,amt_2025_revised,amt_2025_perf,amt_2026_proposal,amt_2026_approved,amt_2026_tag_nutrition,amt_2026_tag_covid,amt_2026_tag_justice,amt_2026_tag_climate,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
"Acquisition of 3No LG Flat Screen TV, 2No LG Refrigerator, 3No LG Air conditioners, 5No Dispenser",70000000.0,0.0,0.0,70000000.0,70000000.0,0.0,0.0,0.0,0.0,198,0.11765,0.13562,011100100100,OFFICE OF THE EXECUTIVE GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122000100,Reform of Government and Governance - General
Procurement of 1 No of 350KVA Generator for the Governor's Resident,50000000.0,0.0,0.0,50000000.0,50000000.0,0.0,0.0,0.0,0.0,198,0.12418,0.14216,011100100100,OFFICE OF THE EXECUTIVE GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010119,PURCHASE OF POWER GENERATING SET,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122000200,Reform of Government and Governance - General
Procurement of complete set of Musical Instruments for Govt. House Chapel,70000000.0,0.0,0.0,70000000.0,70000000.0,0.0,0.0,0.0,0.0,198,0.13072,0.14869,011100100100,OFFICE OF THE EXECUTIVE GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010130,PURCHASE OF RECREATIONAL FACILITIES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122000300,Reform of Government and Governance - General
"Procurement of 5No. Digital Audio Recorder, Cameras, Microphones and Lighting for Editing Suite set up",185000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,0.13807,0.15605,011100100100,OFFICE OF THE EXECUTIVE GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010123,PURCHASE OF FIRE FIGHTING EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122000400,Reform of Government and Governance - General
Building & Furnishing of VIP Protocol Lodge at Int. Yakubu Gowon Airport Hiepang,500000000.0,0.0,0.0,500000000.0,500000000.0,0.0,0.0,0.0,0.0,198,0.14461,0.16258,011100100100,OFFICE OF THE EXECUTIVE GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110100,BARKIN LADI,13100122000500,Reform of Government and Governance - General
Building of Drivers and Staff Domestic Quaters at 16 Unit Guests Houses Rayfield,500000000.0,0.0,0.0,500000000.0,500000000.0,0.0,0.0,0.0,0.0,198,0.15196,0.16993,011100100100,OFFICE OF THE EXECUTIVE GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23020102,CONSTRUCTION / PROVISION OF RESIDENTIAL BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122000600,Reform of Government and Governance - General
Construction of Fuel Dump at Government house Rayfield,50000000.0,0.0,0.0,50000000.0,50000000.0,0.0,0.0,0.0,0.0,198,0.1585,0.17647,011100100100,OFFICE OF THE EXECUTIVE GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23020128,OTHER CONSTRUCTION,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122000800,Reform of Government and Governance - General
Renovation of 16 Unit Guest House Phase II old Government House Rayfield,782800770.0,0.0,0.0,600000000.0,600000000.0,0.0,0.0,0.0,0.0,198,0.16503,0.18301,011100100100,OFFICE OF THE EXECUTIVE GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122000900,Reform of Government and Governance - General
Furnishing of Simon Bako Lalong Guest House (Government House),250000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,0.17239,0.19036,011100100100,OFFICE OF THE EXECUTIVE GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122001000,Reform of Government and Governance - General
Renovation of Green House at government Lodge Rikkos,300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,0.17892,0.1969,011100100100,OFFICE OF THE EXECUTIVE GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23030103,REHABILITATION / REPAIRS - HOUSING,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110500,JOS NORTH,13100122001100,Reform of Government and Governance - General
Supply and installation of Performance System Infrastructure in Strategy Result Delivery Office (SRDO) at Government House Rayfield,95485000.0,0.0,0.0,95485000.0,95485000.0,0.0,0.0,0.0,0.0,198,0.18627,0.20425,011100100100,OFFICE OF THE EXECUTIVE GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23030127,REHABILITATION/REPAIRS- ICT INFRASTRUCTURES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122001200,Reform of Government and Governance - General
"Completion of Domestic Staff Quarters, Water Treatment Plant, and Recreation Centre, New Government House, Little Rayfield",1000000000.0,0.0,0.0,600000000.0,600000000.0,0.0,0.0,0.0,0.0,198,0.19281,0.21078,011100100100,OFFICE OF THE EXECUTIVE GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23020128,OTHER CONSTRUCTION,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122001200,Reform of Government and Governance - General
"Reconstruction of Fallen Fence at the New Government House, Little Rayfield",241806241.0,0.0,138743678.0,0.0,0.0,0.0,0.0,0.0,0.0,198,0.19935,0.21732,011100100100,OFFICE OF THE EXECUTIVE GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23020116,CONSTRUCTION / PROVISION OF WATER-WAYS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122001200,Reform of Government and Governance - General
"Landscaping at the New Government House, Little Rayfield",200000000.0,0.0,0.0,200000000.0,200000000.0,0.0,0.0,0.0,0.0,198,0.2067,0.22467,011100100100,OFFICE OF THE EXECUTIVE GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122001200,Reform of Government and Governance - General
Furnishing of Simon Bako Lalong Guest house,0.0,0.0,0.0,250000000.0,250000000.0,0.0,0.0,0.0,0.0,198,0.21324,0.23121,011100100100,OFFICE OF THE EXECUTIVE GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010103,PURCHASE OF RESIDENTIAL BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13141800,Statewide,13100122001000,Reform of Government and Governance - General
"Perimeter Fencing of Deputy Government House Residence, Fwavei, Rayfield, Jos South LGA",0.0,0.0,0.0,400000000.0,400000000.0,0.0,0.0,0.0,0.0,198,0.22059,0.23856,011100100100,OFFICE OF THE EXECUTIVE GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122001200,Reform of Government and Governance - General
"Reticulation of New Government House, Little Rayfield, Jos South LGA",0.0,0.0,0.0,200000000.0,200000000.0,0.0,0.0,0.0,0.0,198,0.22712,0.2451,011100100100,OFFICE OF THE EXECUTIVE GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122001200,Reform of Government and Governance - General
"Procurement 2No Table, 8No Chairs, 2No. Fire proof Cabinets, 3No LG Flat Screen TV, 2No LG Refrigerator, 3No LG Air conditioners in DG Residence",33075000.0,0.0,0.0,33075000.0,33075000.0,0.0,0.0,0.0,0.0,198,0.26879,0.28676,011100100200,OFFICE OF THE DEPUTY GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010103,PURCHASE OF RESIDENTIAL BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122001300,Reform of Government and Governance - General
Procurement of 2No Toyota Hilux,140000000.0,0.0,0.0,140000000.0,140000000.0,0.0,0.0,0.0,0.0,198,0.27533,0.2933,011100100200,OFFICE OF THE DEPUTY GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010105,PURCHASE OF MOTOR VEHICLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,19100122000100,COVID-19 - General
Procurement of 2No. Toyota Hiace Buses,70000000.0,0.0,0.0,50000000.0,50000000.0,0.0,0.0,0.0,0.0,198,0.28186,0.29984,011100100200,OFFICE OF THE DEPUTY GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010108,PURCHASE OF BUSES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,19100122000200,COVID-19 - General
"Procurement 5No Table, 8No Chairs, 3No. Fire proof Cabinets at old government house Rayfield",32340000.0,0.0,0.0,42340000.0,42340000.0,0.0,0.0,0.0,0.0,198,0.28922,0.30719,011100100200,OFFICE OF THE DEPUTY GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122001400,Reform of Government and Governance - General
Procurement of Editing Machine for Printing Press at government house Little Rayfield,6300000.0,0.0,0.0,31300000.0,31300000.0,0.0,0.0,0.0,0.0,198,0.29575,0.31373,011100100200,OFFICE OF THE DEPUTY GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010114,PURCHASE OF COMPUTER PRINTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122001600,Reform of Government and Governance - General
Procurement of 5No Photocopiers & Accessories at old government house Rayfield,10000000.0,0.0,1490000.0,6000000.0,6000000.0,0.0,0.0,0.0,0.0,198,0.3031,0.32108,011100100200,OFFICE OF THE DEPUTY GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,19100122000400,COVID-19 - General
"Purchase of 5No Drip Stand, 3No Digital Weighing Stand 2No first Aids boxes,2No Digital Thermometer,2No Glucometer and 3No Beds with Frame at old Government House Rayfield",70560000.0,0.0,0.0,30108840.0,30108840.0,0.0,0.0,0.0,0.0,198,0.30964,0.32761,011100100200,OFFICE OF THE DEPUTY GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010122,PURCHASE OF HEALTH / MEDICAL EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,19100122000500,COVID-19 - General
"Procurement of 4No CCTV Cameras,2No Video recorders and Cables,2No Routers and 1No Data Storage drive at old Government House Rayfield",29400000.0,0.0,0.0,28775000.0,28775000.0,0.0,0.0,0.0,0.0,198,0.31618,0.33415,011100100200,OFFICE OF THE DEPUTY GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010128,PURCHASE OF SECURITY EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122001700,Reform of Government and Governance - General
Installation of 4No CCTV Surveillance Cameras within the old Government House premises Rayfield,15000000.0,0.0,0.0,21341600.0,21341600.0,0.0,0.0,0.0,0.0,198,0.32353,0.3415,011100100200,OFFICE OF THE DEPUTY GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010128,PURCHASE OF SECURITY EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,19100122000600,COVID-19 - General
Purchase of Public Address System/Podium and Related Item at old Government House Rayfield,5241600.0,0.0,0.0,7241600.0,7241600.0,0.0,0.0,0.0,0.0,198,0.33007,0.34804,011100100200,OFFICE OF THE DEPUTY GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010133,PURCHASES OF SURVEYING EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,19100122000700,COVID-19 - General
"Procurement of 20No Ordinary filling Cabinets, 4 Fire Proof and 3 iron safe cabinets at old Government House Rayfield",100000000.0,0.0,0.0,30000000.0,30000000.0,0.0,0.0,0.0,0.0,198,0.33742,0.35539,011100100200,OFFICE OF THE DEPUTY GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010140,PURCHASE OF OFFICE EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,13100122001800,Reform of Government and Governance - General
Procurement and Installation of CCTV Cameras in Offices,9375000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,0.34395,0.36193,011100100200,OFFICE OF THE DEPUTY GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010128,PURCHASE OF SECURITY EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,19100122000800,COVID-19 - General
Purchase of Editing Suite/Cameras and Accessories,9375000.0,0.0,0.0,9375000.0,9375000.0,0.0,0.0,0.0,0.0,198,0.35049,0.36846,011100100200,OFFICE OF THE DEPUTY GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010118,PURCHASE OF SCANNERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13141800,Statewide,19100122000900,COVID-19 - General
"Procurement of 5No Refrigerator, 5No LG Plasma Television & 2No Projectors",16170000.0,0.0,0.0,10170000.0,10170000.0,0.0,0.0,0.0,0.0,198,0.35784,0.37582,011100100200,OFFICE OF THE DEPUTY GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010140,PURCHASE OF OFFICE EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13141800,Statewide,19100122001000,COVID-19 - General
Construction of 5No Toilets in Protocol Office,32340000.0,0.0,0.0,8340000.0,8340000.0,0.0,0.0,0.0,0.0,198,0.36438,0.38235,011100100200,OFFICE OF THE DEPUTY GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23020128,OTHER CONSTRUCTION,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13141800,Statewide,19100122001100,COVID-19 - General
Renovation of Office of the Deputy Governors Office Complex,48510000.0,0.0,0.0,5120000.0,5120000.0,0.0,0.0,0.0,0.0,198,0.37173,0.38971,011100100200,OFFICE OF THE DEPUTY GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13141800,Statewide,19100122001200,COVID-19 - General
Installation of CCTV Security/ Surveillance System,5241600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,0.37827,0.39624,011100100200,OFFICE OF THE DEPUTY GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010128,PURCHASE OF SECURITY EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13110600,JOS SOUTH,19100122001300,COVID-19 - General
"Procurement of 5No Desktop Computers, 10No Laptops, 5No Printers & Accessories",0.0,0.0,0.0,15000000.0,15000000.0,0.0,0.0,0.0,0.0,198,0.3848,0.40278,011100100200,OFFICE OF THE DEPUTY GOVERNOR 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010113,PURCHASE OF COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,13141800,Statewide,19100122000400,COVID-19 - General
Procurement of 1No 18 Seater Toyota Bus,33000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,0.42647,0.44444,011100400100,PLATEAU STATE BOUNDARY COMMISSION 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010108,PURCHASE OF BUSES,70621,COMMUNITY DEVELOPMENT,13110500,JOS NORTH,06100122000100,Housing and Urban Development - General
Procurement of 2No. Ground Postitioning System (GPS),2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,0.43382,0.4518,011100400100,PLATEAU STATE BOUNDARY COMMISSION 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010139,PURCHASE OF OTHER FIXED ASSETS,70621,COMMUNITY DEVELOPMENT,13110500,JOS NORTH,06100122000300,Housing and Urban Development - General
Renovation of 5No Offices at the Headquarters,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,0.44036,0.45833,011100400100,PLATEAU STATE BOUNDARY COMMISSION 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70621,COMMUNITY DEVELOPMENT,13110500,JOS NORTH,06100122000400,Housing and Urban Development - General
Procurement of 2No Toyota Hilux/Pick up Van,0.0,0.0,0.0,200000000.0,200000000.0,0.0,0.0,0.0,0.0,198,0.4469,0.46487,011100400100,PLATEAU STATE BOUNDARY COMMISSION 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010106,PURCHASE OF VANS,71091,SOCIAL PROTECTION N.E.C.,13141800,Statewide,06100122000100,Housing and Urban Development - General
Procurement of 4No. Laptops,0.0,0.0,0.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0,198,0.45425,0.47222,011100400100,PLATEAU STATE BOUNDARY COMMISSION 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010113,PURCHASE OF COMPUTERS,71091,SOCIAL PROTECTION N.E.C.,13141800,Statewide,06100122000100,Housing and Urban Development - General
Procurement of 1No Ambulance,100000000.0,0.0,0.0,100000000.0,100000000.0,0.0,0.0,0.0,0.0,198,0.4951,0.51307,011100800100,PLATEAU STATE EMERGENCY MANAGEMENT AGENCY 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010105,PURCHASE OF MOTOR VEHICLES,71091,SOCIAL PROTECTION N.E.C.,13110500,JOS NORTH,10100123000100,Water Resources and Rural Deve - General
Procurement of 1No. Toyota Hilux,70000000.0,0.0,0.0,70000000.0,70000000.0,0.0,0.0,0.0,0.0,198,0.50245,0.52042,011100800100,PLATEAU STATE EMERGENCY MANAGEMENT AGENCY 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010105,PURCHASE OF MOTOR VEHICLES,71091,SOCIAL PROTECTION N.E.C.,13110500,JOS NORTH,10100123000200,Water Resources and Rural Deve - General
"Procurment of 200 No Mattresses, 200 Bundles of Roofing Sheets",300000000.0,0.0,0.0,250000000.0,250000000.0,0.0,0.0,0.0,0.0,198,0.50899,0.52696,011100800100,PLATEAU STATE EMERGENCY MANAGEMENT AGENCY 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23010121,PURCHASE OF RESIDENTIAL FURNITURE,71091,SOCIAL PROTECTION N.E.C.,13141800,Statewide,10100122000100,Water Resources and Rural Deve - General
Construction/Building of Office Complex for State Emergency Maanagement Agency,50000000.0,0.0,0.0,20000000.0,20000000.0,0.0,0.0,0.0,0.0,198,0.51634,0.53431,011100800100,PLATEAU STATE EMERGENCY MANAGEMENT AGENCY 2025 Performance January 2026 Executive Budget 2026 RIGHT/JUSTICE 2026 CLIMATE CHANGE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,71091,SOCIAL PROTECTION N.E.C.,13110600,JOS SOUTH,10100122000200,Water Resources and Rural Deve - General
