project,amt_2024_actual,amt_2025_revised,amt_2025_perf,amt_2026_approved,amt_2027_estimate,amt_2028_estimate,amt_2026_tag_nutrition,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
Rapid responses Financial Support to fire victims and other disasters across the State,0.0,322500000.0,322500000.0,100000000.0,2500000000.0,2500000000.0,0.0,210,0.1152,0.13317,011100800100,State Emergency Management Agency (SEMA),23010139,PURCHASE OF POVERTY AND EMERGENCY RELIEF MATERIALS,71091,SOCIAL PROTECTION N.E.C.,33342400,State Wide,23070224000300,Emergency Response and Relief Services
Construction of SEMA office and warehouses in Sokoto,0.0,0.0,0.0,500000000.0,500000000.0,500000000.0,0.0,210,0.12337,0.14134,011100800100,State Emergency Management Agency (SEMA),23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,71091,SOCIAL PROTECTION N.E.C.,33342400,State Wide,23070224000400,Emergency Response and Relief Services
"Relocation of flood victims in Sakkwai, Kwallasa, Kutufare, Illela Dabore and Lokoko in Tangaza, Gudu and Shagari consequtively",0.0,0.0,0.0,300000000.0,300000000.0,300000000.0,0.0,210,0.13154,0.14951,011100800100,State Emergency Management Agency (SEMA),23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,71091,SOCIAL PROTECTION N.E.C.,33342400,State Wide,23070224000500,Emergency Response and Relief Services
Establishment of Temporary IDP's Camps in the State,0.0,0.0,0.0,50000000.0,350000000.0,350000000.0,0.0,210,0.13971,0.15768,011100800100,State Emergency Management Agency (SEMA),23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,71091,SOCIAL PROTECTION N.E.C.,33342400,State Wide,23070224000600,Emergency Response and Relief Services
"Purchase of emergency relief materials such as matresses, blankets, buckets, food stuffs, utensils for Quick response assistance to victims of communal crises, Banditry, IDP's, Refugees and returnees.",0.0,0.0,0.0,200000000.0,150000000.0,150000000.0,0.0,210,0.14788,0.16585,011100800100,State Emergency Management Agency (SEMA),23010139,PURCHASE OF POVERTY AND EMERGENCY RELIEF MATERIALS,71091,SOCIAL PROTECTION N.E.C.,33342400,State Wide,23070224000700,Emergency Response and Relief Services
Provision of Reliief Materials to IDPs under UNSDPS (Delivery as One),0.0,0.0,0.0,50000000.0,50000000.0,50000000.0,0.0,210,0.15605,0.17402,011100800100,State Emergency Management Agency (SEMA),23010139,PURCHASE OF POVERTY AND EMERGENCY RELIEF MATERIALS,71091,SOCIAL PROTECTION N.E.C.,33342400,State Wide,23070224000800,Emergency Response and Relief Services
Purchase of 10no. HP Desktop and 7no of HP Laptops,0.0,40000000.0,0.0,0.0,0.0,0.0,0.0,210,0.19771,0.21569,011101000100,Bureau for Public Procurement and Price Intelligence,23010113,PURCHASE OF COMPUTERS,70133,OTHER GENERAL SERVICES,33312100,WAMAKKO,13100125000100,Reform of Government and Governance - General
Purchase of 60KVA Micano ST40 Generator,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,210,0.20588,0.22386,011101000100,Bureau for Public Procurement and Price Intelligence,23010119,PURCHASE OF POWER GENERATING SET,70133,OTHER GENERAL SERVICES,33312100,WAMAKKO,13100125000200,Reform of Government and Governance - General
Procurement of 1 No Toyota Hilux 2024 Model,0.0,0.0,0.0,0.0,200000000.0,200000000.0,0.0,210,0.21405,0.23203,011101000100,Bureau for Public Procurement and Price Intelligence,23010105,PURCHASE OF MOTOR VEHICLES,70133,OTHER GENERAL SERVICES,33312100,WAMAKKO,13100125000300,Reform of Government and Governance - General
"Construction of New office building at Sama Road, Area Sokoto",0.0,100000000.0,28500000.0,0.0,300000000.0,300000000.0,0.0,210,0.22222,0.2402,011101000100,Bureau for Public Procurement and Price Intelligence,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70133,OTHER GENERAL SERVICES,33312100,WAMAKKO,13100125000400,Reform of Government and Governance - General
